ObjectName,R,G,B
Ground,255,255,255
TemplateCube_Rounded_4,255,255,127
SkyShereBlueprint,255,127,255
TemplateCube_Rounded_7,255,127,127
TemplateCube_Rounded_6,127,255,255
TemplateCube_Rounded_10,127,255,127
TemplateCube_Rounded_8,127,127,255
TemplateCube_Rounded_9,127,127,127
TemplateCube_Rounded_48,255,255,191
TemplateCube_Rounded_49,255,127,191
TemplateCube_Rounded_52,127,255,191
TemplateCube_Rounded_13,127,127,191
TemplateCube_Rounded_55,255,191,255
TemplateCube_Rounded_56,255,191,127
TemplateCube_Rounded_61,127,191,255
TemplateCube_Rounded_62,127,191,127
TemplateCube_Rounded_65,255,191,191
TemplateCube_Rounded_66,127,191,191
TemplateCube_Rounded_69,191,255,255
TemplateCube_Rounded_70,191,255,127
TemplateCube_Rounded_75,191,127,255
TemplateCube_Rounded_76,191,127,127
TemplateCube_Rounded_77,191,255,191
TemplateCube_Rounded_78,191,127,191
TemplateCube_Rounded_26,191,191,255
TemplateCube_Rounded_83,191,191,127
TemplateCube_Rounded_84,191,191,191
TemplateCube_Rounded_85,255,255,95
TemplateCube_Rounded_92,255,127,95
TemplateCube_Rounded_31,255,191,95
TemplateCube_Rounded_93,127,255,95
TemplateCube_Rounded_94,127,127,95
TemplateCube_Rounded_96,127,191,95
TemplateCube_Rounded_103,191,255,95
TemplateCube_Rounded_104,191,127,95
TemplateCube_Rounded_105,191,191,95
TemplateCube_Rounded_106,255,95,255
TemplateCube_Rounded_108,255,95,127
TemplateCube_Rounded_115,255,95,191
TemplateCube_Rounded_116,127,95,255
TemplateCube_Rounded_117,127,95,127
TemplateCube_Rounded_45,127,95,191
TemplateCube_Rounded_47,191,95,255
TemplateCube_Rounded_124,191,95,127
TemplateCube_Rounded_125,191,95,191
TemplateCube_Rounded_126,255,95,95
TemplateCube_Rounded_128,127,95,95
TemplateCube_Rounded_50,191,95,95
TemplateCube_Rounded_51,95,255,255
TemplateCube_Rounded_133,95,255,127
TemplateCube_Rounded_53,95,255,191
TemplateCube_Rounded_54,95,127,255
TemplateCube_Rounded_138,95,127,127
TemplateCube_Rounded_139,95,127,191
TemplateCube_Rounded_57,95,191,255
TemplateCube_Rounded_142,95,191,127
TemplateCube_Rounded_143,95,191,191
TemplateCube_Rounded_60,95,255,95
TemplateCube_Rounded_146,95,127,95
TemplateCube_Rounded_152,95,191,95
TemplateCube_Rounded_64,95,95,255
TemplateCube_Rounded_63,95,95,127
TemplateCube_Rounded_151,95,95,191
TemplateCube_Rounded_154,95,95,95
TemplateCube_Rounded_160,255,255,159
TemplateCube_Rounded_159,255,127,159
TemplateCube_Rounded_68,255,191,159
TemplateCube_Rounded_67,255,95,159
TemplateCube_Rounded_74,127,255,159
TemplateCube_Rounded_73,127,127,159
TemplateCube_Rounded_72,127,191,159
TemplateCube_Rounded_71,127,95,159
TemplateCube_Rounded_82,191,255,159
TemplateCube_Rounded_81,191,127,159
TemplateCube_Rounded_80,191,191,159
