ObjectName,R,G,B
TemplateCube_Rounded_79,191,95,159
TemplateCube_Rounded_176,95,255,159
TemplateCube_Rounded_175,95,127,159
TemplateCube_Rounded_174,95,191,159
TemplateCube_Rounded_173,95,95,159
TemplateCube_Rounded_90,255,159,255
TemplateCube_Rounded_89,255,159,127
TemplateCube_Rounded_88,255,159,191
TemplateCube_Rounded_87,255,159,95
TemplateCube_Rounded_86,127,159,255
TemplateCube_Rounded_187,127,159,127
TemplateCube_Rounded_186,127,159,191
TemplateCube_Rounded_185,127,159,95
TemplateCube_Rounded_98,191,159,255
TemplateCube_Rounded_97,191,159,127
TemplateCube_Rounded_200,191,159,191
TemplateCube_Rounded_199,191,159,95
TemplateCube_Rounded_198,95,159,255
TemplateCube_Rounded_197,95,159,127
TemplateCube_Rounded_196,95,159,191
TemplateCube_Rounded_91,95,159,95
TemplateCube_Rounded_102,255,159,159
TemplateCube_Rounded_101,127,159,159
TemplateCube_Rounded_100,191,159,159
TemplateCube_Rounded_99,95,159,159
TemplateCube_Rounded_212,159,255,255
TemplateCube_Rounded_211,159,255,127
TemplateCube_Rounded_210,159,255,191
TemplateCube_Rounded_209,159,255,95
TemplateCube_Rounded_110,159,127,255
TemplateCube_Rounded_109,159,127,127
TemplateCube_Rounded_218,159,127,191
TemplateCube_Rounded_217,159,127,95
TemplateCube_Rounded_114,159,191,255
TemplateCube_Rounded_113,159,191,127
TemplateCube_Rounded_112,159,191,191
TemplateCube_Rounded_111,159,191,95
TemplateCube_Rounded_122,159,95,255
TemplateCube_Rounded_121,159,95,127
TemplateCube_Rounded_120,159,95,191
TemplateCube_Rounded_119,159,95,95
TemplateCube_Rounded_234,159,255,159
TemplateCube_Rounded_233,159,127,159
TemplateCube_Rounded_232,159,191,159
TemplateCube_Rounded_231,159,95,159
TemplateCube_Rounded_130,159,159,255
TemplateCube_Rounded_129,159,159,127
TemplateCube_Rounded_247,159,159,191
TemplateCube_Rounded_246,159,159,95
TemplateCube_Rounded_245,159,159,159
TemplateCube_Rounded_244,255,255,223
TemplateCube_Rounded_243,255,127,223
TemplateCube_Rounded_123,255,191,223
TemplateCube_Rounded_131,255,95,223
TemplateCube_Rounded_132,255,159,223
TemplateCube_Rounded_256,127,255,223
TemplateCube_Rounded_134,127,127,223
TemplateCube_Rounded_135,127,191,223
TemplateCube_Rounded_136,127,95,223
TemplateCube_Rounded_137,127,159,223
TemplateCube_Rounded_257,191,255,223
TemplateCube_Rounded_266,191,127,223
TemplateCube_Rounded_140,191,191,223
TemplateCube_Rounded_141,191,95,223
TemplateCube_Rounded_267,191,159,223
TemplateCube_Rounded_268,95,255,223
TemplateCube_Rounded_144,95,127,223
TemplateCube_Rounded_145,95,191,223
TemplateCube_Rounded_269,95,95,223
TemplateCube_Rounded_147,95,159,223
TemplateCube_Rounded_148,159,255,223
TemplateCube_Rounded_149,159,127,223
TemplateCube_Rounded_150,159,191,223
TemplateCube_Rounded_282,159,95,223
TemplateCube_Rounded_283,159,159,223
TemplateCube_Rounded_153,255,223,255
TemplateCube_Rounded_284,255,223,127
TemplateCube_Rounded_155,255,223,191
TemplateCube_Rounded_156,255,223,95
TemplateCube_Rounded_157,255,223,159
TemplateCube_Rounded_158,127,223,255
OrangeBall,127,223,127
Cone_5,127,223,191
Cylinder_2,127,223,95
Cylinder2,127,223,159
Cylinder3,191,223,255
Cylinder4,191,223,127
Cylinder5,191,223,191
Cylinder6,191,223,95
Cylinder7,191,223,159
Cylinder8,95,223,255
TemplateCube_Rounded_1,95,223,127
Wall_C_1,95,223,191
Wall_C_2,95,223,95
Wall_C_3,95,223,159
Wall_C_4,159,223,255
Wall_C_5,159,223,127
Wall_C_6,159,223,191
Wall_C_7,159,223,95
Wall_C_8,159,223,159
Wall_C_9,255,223,223
Wall_C_10,127,223,223
Wall_C_11,191,223,223
Wall_C_12,95,223,223
Wall_C_13,159,223,223
Wall_C_14,223,255,255
Wall_C_15,223,255,127
Wall_C_16,223,255,191
Wall_C_17,223,255,95
Wall_C_18,223,255,159
Wall_C_19,223,127,255
Wall_C_20,223,127,127
Wall_C_21,223,127,191
Wall_C_22,223,127,95
Wall_C_23,223,127,159
Wall_C_24,223,191,255
Wall_C_25,223,191,127
Wall_C_26,223,191,191
Wall_C_27,223,191,95
Wall_C_28,223,191,159
Wall_C_29,223,95,255
Wall_C_30,223,95,127
Wall_C_31,223,95,191
Wall_C_32,223,95,95
SM_CineCam_0_ExternalCamera,223,95,159
MatineeCam_SM_1_ExternalCamera,223,159,255
MatineeCam_SM_2_ExternalCamera,223,159,127
MatineeCam_SM_3_ExternalCamera,223,159,191
MatineeCam_SM_4_ExternalCamera,223,159,95
MatineeCam_SM_5_ExternalCamera,223,159,159
MatineeCam_SM_6_ExternalCamera,223,255,223
Cone_7_ExternalCamera,223,127,223
MatineeCam_SM_8_ExternalCamera,223,191,223
MatineeCam_SM_9_ExternalCamera,223,95,223
MatineeCam_SM_10_ExternalCamera,223,159,223
MatineeCam_SM_11_ExternalCamera,223,223,255
PhysXCar,223,223,127
SM_CineCam_0_PhysXCar_camera_front_center,223,223,191
MatineeCam_SM_1_PhysXCar_camera_front_center,223,223,95
MatineeCam_SM_2_PhysXCar_camera_front_center,223,223,159
MatineeCam_SM_3_PhysXCar_camera_front_center,223,223,223
MatineeCam_SM_4_PhysXCar_camera_front_center,255,255,79
MatineeCam_SM_5_PhysXCar_camera_front_center,255,127,79
MatineeCam_SM_6_PhysXCar_camera_front_center,255,191,79
Cone_7_PhysXCar_camera_front_center,255,95,79
MatineeCam_SM_8_PhysXCar_camera_front_center,255,159,79
MatineeCam_SM_9_PhysXCar_camera_front_center,255,223,79
MatineeCam_SM_10_PhysXCar_camera_front_center,127,255,79
MatineeCam_SM_11_PhysXCar_camera_front_center,127,127,79
SM_CineCam_0_PhysXCar_camera_front_left,127,191,79
MatineeCam_SM_1_PhysXCar_camera_front_left,127,95,79
MatineeCam_SM_2_PhysXCar_camera_front_left,127,159,79
MatineeCam_SM_3_PhysXCar_camera_front_left,127,223,79
MatineeCam_SM_4_PhysXCar_camera_front_left,191,255,79
MatineeCam_SM_5_PhysXCar_camera_front_left,191,127,79
MatineeCam_SM_6_PhysXCar_camera_front_left,191,191,79
Cone_7_PhysXCar_camera_front_left,191,95,79
MatineeCam_SM_8_PhysXCar_camera_front_left,191,159,79
MatineeCam_SM_9_PhysXCar_camera_front_left,191,223,79
MatineeCam_SM_10_PhysXCar_camera_front_left,95,255,79
MatineeCam_SM_11_PhysXCar_camera_front_left,95,127,79
SM_CineCam_0_PhysXCar_camera_front_right,95,191,79
MatineeCam_SM_1_PhysXCar_camera_front_right,95,95,79
MatineeCam_SM_2_PhysXCar_camera_front_right,95,159,79
MatineeCam_SM_3_PhysXCar_camera_front_right,95,223,79
MatineeCam_SM_4_PhysXCar_camera_front_right,159,255,79
MatineeCam_SM_5_PhysXCar_camera_front_right,159,127,79
MatineeCam_SM_6_PhysXCar_camera_front_right,159,191,79
Cone_7_PhysXCar_camera_front_right,159,95,79
MatineeCam_SM_8_PhysXCar_camera_front_right,159,159,79
MatineeCam_SM_9_PhysXCar_camera_front_right,159,223,79
MatineeCam_SM_10_PhysXCar_camera_front_right,223,255,79
MatineeCam_SM_11_PhysXCar_camera_front_right,223,127,79
SM_CineCam_0_PhysXCar_camera_driver,223,191,79
MatineeCam_SM_1_PhysXCar_camera_driver,223,95,79
MatineeCam_SM_2_PhysXCar_camera_driver,223,159,79
MatineeCam_SM_3_PhysXCar_camera_driver,223,223,79
MatineeCam_SM_4_PhysXCar_camera_driver,255,79,255
MatineeCam_SM_5_PhysXCar_camera_driver,255,79,127
MatineeCam_SM_6_PhysXCar_camera_driver,255,79,191
Cone_7_PhysXCar_camera_driver,255,79,95
MatineeCam_SM_8_PhysXCar_camera_driver,255,79,159
MatineeCam_SM_9_PhysXCar_camera_driver,255,79,223
MatineeCam_SM_10_PhysXCar_camera_driver,127,79,255
MatineeCam_SM_11_PhysXCar_camera_driver,127,79,127
SM_CineCam_0_PhysXCar_camera_back_center,127,79,191
MatineeCam_SM_1_PhysXCar_camera_back_center,127,79,95
MatineeCam_SM_2_PhysXCar_camera_back_center,127,79,159
MatineeCam_SM_3_PhysXCar_camera_back_center,127,79,223
MatineeCam_SM_4_PhysXCar_camera_back_center,191,79,255
MatineeCam_SM_5_PhysXCar_camera_back_center,191,79,127
MatineeCam_SM_6_PhysXCar_camera_back_center,191,79,191
Cone_7_PhysXCar_camera_back_center,191,79,95
MatineeCam_SM_8_PhysXCar_camera_back_center,191,79,159
MatineeCam_SM_9_PhysXCar_camera_back_center,191,79,223
MatineeCam_SM_10_PhysXCar_camera_back_center,95,79,255
MatineeCam_SM_11_PhysXCar_camera_back_center,95,79,127
