ObjectName,R,G,B
TemplateCube_Rounded_140,95,191,223
TemplateCube_Rounded_141,95,95,223
TemplateCube_Rounded_267,95,159,223
TemplateCube_Rounded_268,159,255,223
TemplateCube_Rounded_144,159,127,223
TemplateCube_Rounded_145,159,191,223
TemplateCube_Rounded_269,159,95,223
TemplateCube_Rounded_147,159,159,223
TemplateCube_Rounded_148,255,223,255
TemplateCube_Rounded_149,255,223,127
TemplateCube_Rounded_150,255,223,191
TemplateCube_Rounded_282,255,223,95
TemplateCube_Rounded_283,255,223,159
TemplateCube_Rounded_153,127,223,255
TemplateCube_Rounded_284,127,223,127
TemplateCube_Rounded_155,127,223,191
TemplateCube_Rounded_156,127,223,95
TemplateCube_Rounded_157,127,223,159
TemplateCube_Rounded_158,191,223,255
OrangeBall,191,223,127
Cone_5,191,223,191
Cylinder_2,191,223,95
Cylinder2,191,223,159
Cylinder3,95,223,255
Cylinder4,95,223,127
Cylinder5,95,223,191
Cylinder6,95,223,95
Cylinder7,95,223,159
Cylinder8,159,223,255
TemplateCube_Rounded_1,159,223,127
SM_CineCam_0_ExternalCamera,159,223,191
MatineeCam_SM_1_ExternalCamera,159,223,95
MatineeCam_SM_2_ExternalCamera,159,223,159
MatineeCam_SM_3_ExternalCamera,255,223,223
MatineeCam_SM_4_ExternalCamera,127,223,223
MatineeCam_SM_5_ExternalCamera,191,223,223
MatineeCam_SM_6_ExternalCamera,95,223,223
Cone_7_ExternalCamera,159,223,223
MatineeCam_SM_8_ExternalCamera,223,255,255
MatineeCam_SM_9_ExternalCamera,223,255,127
MatineeCam_SM_10_ExternalCamera,223,255,191
MatineeCam_SM_11_ExternalCamera,223,255,95
PhysXCar,223,255,159
SM_CineCam_0_PhysXCar_camera_front_center,223,127,255
MatineeCam_SM_1_PhysXCar_camera_front_center,223,127,127
MatineeCam_SM_2_PhysXCar_camera_front_center,223,127,191
MatineeCam_SM_3_PhysXCar_camera_front_center,223,127,95
MatineeCam_SM_4_PhysXCar_camera_front_center,223,127,159
MatineeCam_SM_5_PhysXCar_camera_front_center,223,191,255
MatineeCam_SM_6_PhysXCar_camera_front_center,223,191,127
Cone_7_PhysXCar_camera_front_center,223,191,191
MatineeCam_SM_8_PhysXCar_camera_front_center,223,191,95
MatineeCam_SM_9_PhysXCar_camera_front_center,223,191,159
MatineeCam_SM_10_PhysXCar_camera_front_center,223,95,255
MatineeCam_SM_11_PhysXCar_camera_front_center,223,95,127
SM_CineCam_0_PhysXCar_camera_front_left,223,95,191
MatineeCam_SM_1_PhysXCar_camera_front_left,223,95,95
MatineeCam_SM_2_PhysXCar_camera_front_left,223,95,159
MatineeCam_SM_3_PhysXCar_camera_front_left,223,159,255
MatineeCam_SM_4_PhysXCar_camera_front_left,223,159,127
MatineeCam_SM_5_PhysXCar_camera_front_left,223,159,191
MatineeCam_SM_6_PhysXCar_camera_front_left,223,159,95
Cone_7_PhysXCar_camera_front_left,223,159,159
MatineeCam_SM_8_PhysXCar_camera_front_left,223,255,223
MatineeCam_SM_9_PhysXCar_camera_front_left,223,127,223
MatineeCam_SM_10_PhysXCar_camera_front_left,223,191,223
MatineeCam_SM_11_PhysXCar_camera_front_left,223,95,223
SM_CineCam_0_PhysXCar_camera_front_right,223,159,223
MatineeCam_SM_1_PhysXCar_camera_front_right,223,223,255
MatineeCam_SM_2_PhysXCar_camera_front_right,223,223,127
MatineeCam_SM_3_PhysXCar_camera_front_right,223,223,191
