ObjectName,x_pos,y_pos,z_pos,w_qua,x_qua,y_qua,z_qua
TemplateCube_Rounded_152,-71.9000015258789,-56.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_64,-71.9000015258789,-56.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_63,-71.9000015258789,-56.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_151,-71.9000015258789,-56.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_154,-71.9000015258789,53.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_160,58.099998474121094,-116.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_159,58.099998474121094,-116.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_68,58.099998474121094,-106.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_67,58.099998474121094,-106.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_74,48.099998474121094,-116.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_73,48.099998474121094,-116.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_72,48.099998474121094,-106.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_71,48.099998474121094,-106.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_82,58.099998474121094,103.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_81,58.099998474121094,103.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_80,58.099998474121094,113.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_79,58.099998474121094,113.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_176,48.099998474121094,103.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_175,48.099998474121094,103.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_174,48.099998474121094,113.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_173,48.099998474121094,113.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_90,-81.9000015258789,103.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_89,-82.0,103.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_88,-81.9000015258789,113.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_87,-81.9000015258789,113.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_86,-92.0,103.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_187,-91.9000015258789,103.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_186,-91.9000015258789,113.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_185,-92.0,113.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_98,-81.9000015258789,-116.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_97,-81.9000015258789,-116.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_200,-81.9000015258789,-106.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_199,-81.9000015258789,-106.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_198,-91.9000015258789,-116.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_197,-91.9000015258789,-116.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_196,-91.9000015258789,-106.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_91,-91.9000015258789,-106.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_102,-31.899999618530273,23.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_101,-31.899999618530273,33.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_100,-21.899999618530273,23.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_99,-21.899999618530273,33.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_212,58.099998474121094,-116.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_211,58.099998474121094,-106.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_210,48.099998474121094,-116.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_209,48.099998474121094,-106.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_110,18.100000381469727,-56.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_109,18.100000381469727,-56.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_218,18.100000381469727,-56.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_217,18.100000381469727,-56.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_114,18.100000381469727,-66.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_113,18.100000381469727,-66.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_112,18.100000381469727,-66.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_111,18.100000381469727,-66.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_122,18.100000381469727,63.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_121,18.100000381469727,63.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_120,18.100000381469727,63.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_119,18.100000381469727,63.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_234,18.100000381469727,53.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_233,18.100000381469727,53.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_232,18.100000381469727,53.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_231,18.100000381469727,53.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_130,28.099998474121094,63.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_129,28.099998474121094,63.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_247,28.099998474121094,63.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_246,28.099998474121094,63.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_245,28.099998474121094,53.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_244,28.099998474121094,53.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_243,28.099998474121094,53.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_123,28.099998474121094,53.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_131,28.099998474121094,-56.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_132,28.099998474121094,-56.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_256,28.099998474121094,-56.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_134,28.099998474121094,-56.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_135,28.099998474121094,-66.5,-1.4800000190734863,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_136,28.099998474121094,-66.5,-6.480000019073486,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_137,28.099998474121094,-66.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_257,28.099998474121094,-66.5,-16.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_266,18.100000381469727,-56.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_140,18.100000381469727,-66.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_141,18.100000381469727,63.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_267,18.100000381469727,53.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_268,28.099998474121094,63.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_144,28.099998474121094,53.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_145,28.099998474121094,-56.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_269,28.099998474121094,-66.5,-21.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_147,28.099998474121094,-6.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_148,28.099998474121094,-16.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_149,28.099998474121094,13.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_150,28.099998474121094,3.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_282,38.099998474121094,-16.5,-11.479999542236328,1.0,-0.0,0.0,0.0
TemplateCube_Rounded_283,38.099998474121094,13.5,-11.479999542236328,1.0,-0.0,0.0,0.0
